Date,Open,High,Low,Close,Adj Close,Volume
2021-03-16,116.010002,116.330002,115.169998,115.989998,112.059959,2126400
2021-03-17,116.250000,116.830002,115.790001,116.410004,112.465744,4351000
2021-03-18,116.800003,117.519997,116.449997,117.040001,113.074387,2652700
2021-03-19,116.879997,116.989998,115.820000,116.540001,112.591316,12535000
2021-03-22,116.010002,116.489998,115.550003,115.980003,112.050308,2201800
2021-03-23,116.029999,116.589996,115.639999,115.839996,111.915047,3674200
2021-03-24,115.940002,116.570000,115.839996,115.959999,112.030975,2291200
2021-03-25,116.099998,116.599998,115.940002,116.290001,112.349800,9018800
2021-03-26,116.570000,117.099998,116.410004,117.059998,113.093712,4331300
2021-03-29,116.470001,117.300003,116.339996,117.120003,113.151672,3248300
2021-03-30,117.169998,117.970001,116.930000,117.139999,113.170998,2961600
2021-03-31,116.900002,117.070000,115.669998,115.870003,111.944031,3144100
2021-04-01,115.900002,116.150002,115.699997,116.000000,112.069626,2863400
2021-04-05,116.550003,117.029999,116.339996,116.500000,112.552681,6352100
2021-04-06,116.900002,116.940002,116.339996,116.489998,112.543022,1680100
2021-04-07,116.790001,116.889999,116.220001,116.550003,112.600983,1907300
2021-04-08,116.379997,116.800003,115.919998,116.800003,112.842514,1875000
2021-04-09,116.949997,117.139999,116.389999,117.110001,113.142006,2429100
2021-04-12,117.000000,117.839996,116.720001,117.589996,113.605743,10317200
2021-04-13,117.379997,117.650002,117.099998,117.180000,113.209641,4415500
2021-04-14,117.500000,117.989998,117.110001,117.339996,113.364220,7398900
2021-04-15,117.720001,118.019997,117.400002,118.019997,114.021179,8582000
2021-04-16,118.230003,118.790001,118.120003,118.489998,114.475250,5376900
2021-04-19,118.419998,118.910004,117.760002,117.949997,113.953545,8480200
2021-04-20,117.500000,117.879997,116.519997,116.599998,112.649292,5197600
2021-04-21,115.419998,116.080002,114.910004,116.040001,113.156372,4075100
2021-04-22,116.010002,116.180000,115.250000,115.849998,112.971085,4374700
2021-04-23,115.830002,116.730003,115.400002,116.559998,113.663452,4116100
2021-04-26,116.059998,117.260002,116.059998,116.750000,113.848724,5661400
2021-04-27,116.750000,117.489998,116.389999,117.110001,114.199776,7340800
2021-04-28,117.269997,118.029999,117.150002,117.739998,114.814125,9467700
2021-04-29,118.309998,118.529999,117.860001,118.110001,115.174934,9136600
2021-04-30,118.000000,118.000000,117.050003,117.309998,114.394806,2405300
2021-05-03,117.750000,118.169998,117.540001,118.089996,115.155426,1672200
2021-05-04,117.699997,118.279999,117.360001,117.919998,114.989647,4022000
2021-05-05,118.000000,119.089996,117.730003,119.040001,116.081825,4172800
2021-05-06,118.900002,119.680000,118.790001,119.570000,116.598648,2647700
2021-05-07,118.900002,120.500000,118.900002,120.260002,117.271500,2268700
2021-05-10,120.279999,121.360001,120.279999,120.379997,117.388512,3103300
2021-05-11,119.559998,120.440002,118.949997,119.410004,116.442627,6574700
2021-05-12,119.250000,120.070000,119.190002,119.940002,116.959457,5049800
2021-05-13,119.889999,121.500000,119.750000,121.139999,118.129639,3052000
2021-05-14,121.260002,122.190002,121.150002,121.860001,118.831741,2461200
2021-05-17,122.000000,122.419998,121.260002,122.290001,119.251053,2046000
2021-05-18,122.489998,123.309998,122.150002,123.139999,120.079926,2219700
2021-05-19,122.430000,123.309998,121.800003,122.839996,119.787392,3255500
2021-05-20,122.769997,123.339996,122.559998,122.970001,119.914154,2042000
2021-05-21,123.120003,123.820000,123.010002,123.470001,120.401733,2239100
2021-05-25,124.000000,124.620003,123.389999,123.459999,120.391975,3463400
2021-05-26,123.940002,124.559998,123.389999,124.449997,121.357376,2638700
2021-05-27,125.150002,126.349998,124.870003,126.000000,122.868858,4597900
2021-05-28,126.660004,126.900002,125.010002,125.620003,122.498306,6010000
2021-05-31,126.000000,126.080002,123.699997,124.209999,121.123344,2009600
2021-06-01,125.660004,126.150002,125.110001,125.849998,122.722588,3341200
2021-06-02,126.470001,126.519997,125.360001,125.980003,122.849365,2170800
2021-06-03,125.750000,126.690002,125.739998,126.120003,122.985878,2380900
2021-06-04,126.550003,126.610001,125.519997,126.209999,123.073647,1541900
2021-06-07,126.470001,126.639999,125.709999,126.029999,122.898117,1977800
2021-06-08,125.750000,126.160004,125.300003,125.680000,122.556808,3515800
2021-06-09,125.400002,125.540001,124.730003,124.919998,121.815697,3552200
2021-06-10,125.680000,125.699997,124.529999,124.699997,121.601166,1808300
2021-06-11,124.959999,126.129997,124.510002,126.099998,122.966377,2557100
2021-06-14,126.120003,126.550003,125.650002,126.410004,123.268677,2353900
2021-06-15,126.699997,127.709999,126.650002,127.330002,124.165817,2308100
2021-06-16,127.059998,128.179993,126.959999,127.680000,124.507111,2257000
2021-06-17,128.000000,128.720001,126.690002,127.080002,123.922028,2928400
2021-06-18,126.239998,126.629997,125.790001,125.959999,122.829857,9652500
2021-06-21,126.540001,126.809998,125.930000,126.260002,123.122398,1557900
2021-06-22,126.599998,126.629997,125.459999,125.839996,122.712830,1928700
2021-06-23,126.010002,126.110001,125.400002,125.639999,122.517807,1768900
2021-06-24,126.000000,126.290001,125.529999,125.709999,122.586067,1669800
2021-06-25,125.699997,126.480003,125.559998,126.169998,123.034630,1789500
2021-06-28,126.889999,126.940002,125.059998,125.529999,122.410538,2680400
2021-06-29,126.000000,126.339996,125.400002,125.660004,122.537315,1447500
2021-06-30,125.559998,125.699997,125.180000,125.589996,122.469048,2493100
2021-07-02,126.239998,126.739998,125.750000,126.029999,122.898117,1522800
2021-07-05,126.120003,126.540001,125.449997,126.379997,123.239418,494400
2021-07-06,126.580002,126.580002,125.529999,125.980003,122.849365,2682100
2021-07-07,125.830002,126.510002,125.480003,125.949997,122.820099,2539000
2021-07-08,125.300003,125.839996,124.080002,125.779999,122.654327,4082900
2021-07-09,126.440002,127.220001,125.529999,126.370003,123.229660,4405800
2021-07-12,126.089996,127.730003,126.050003,127.720001,124.546120,9403300
2021-07-13,127.820000,128.429993,127.349998,127.980003,124.799660,1727100
2021-07-14,127.769997,128.919998,127.470001,128.740005,125.540779,4975500
